526-55-3822,Ford,integer non,Taurus,1999,3664.31,0
509-91-9159,Saturn,nulla,Ion,2004,4870.52,82
813-38-4498,BMW,sed,M5,2007,7197.66,75
926-76-2810,Pontiac,imperdiet sapien,Bonneville,1968,843.1,36
609-99-1363,Chrysler,in,Pacifica,2005,6933.68,1
"","a","a","a",0,6.72623e-44,721,
"a","a","a","a",5,1,1,
504-08-3557,GMC,in libero,Jimmy,1992,2936.12,58
550-66-0854,Saab,nascetur ridiculus,9000,1998,370.1,46
159-09-2983,Acura,amet sapien,Integra,1992,8115.4,41
588-33-7400,Porsche,accumsan tortor,911,2006,3064.01,13
852-03-8053,Chevrolet,convallis,Avalanche,2010,4931.9,74
612-90-3678,Ford,augue,GT500,2009,9707.83,46
188-43-4991,Dodge,vulputate,Ram 3500,2005,1202.16,25
051-30-7966,Nissan,rhoncus,Maxima,1998,3402.98,23
538-14-8443,Toyota,vel lectus,Avalon,1995,6228.38,41
457-59-9421,Dodge,nonummy maecenas,Grand Caravan,2006,3358.34,75
660-43-2206,GMC,sollicitudin ut,Savana 3500,2006,2642.14,43
229-30-0350,Mitsubishi,nulla,Eclipse,2004,3498.11,36
978-77-7554,Audi,ultrices mattis,Q5,2009,3637.55,14
462-88-3371,Nissan,tellus,Leaf,2011,2456.88,61
285-70-3187,Toyota,vitae ipsum,Tundra,2006,6935.49,20
001-87-5992,Kia,nibh,Sportage,1997,3833.99,16
879-38-3155,Chevrolet,quisque,Colorado,2009,9303.58,10
131-00-9364,Toyota,sit,Avalon,2003,6737.49,78
833-10-6253,Volvo,a odio,940,1995,7777.94,3
153-10-4598,Ford,nulla neque,Taurus,1994,1047.51,27
416-76-4537,Ford,tempus,Explorer,2008,6061.85,35
467-49-9626,Chevrolet,praesent lectus,Suburban 1500,2010,2009.24,10
278-98-0202,Volvo,vestibulum,XC90,2005,9261.04,88
491-98-7626,Volkswagen,consectetuer,GTI,1998,7805.7,10
981-83-2455,Dodge,integer,Dakota,2002,2517.23,22
417-75-3719,Ford,fusce,F350,2005,6233.8,99
531-14-1466,Toyota,nisl duis,Tacoma,1999,2434.13,95
920-54-1370,Isuzu,tempus,Rodeo,2000,1563.19,82
611-22-9682,Mazda,elit,MX-6,1989,6342.39,40
703-21-3767,Chevrolet,tristique,Corvette,1978,1254.35,22
943-95-2494,GMC,at,2500 Club Coupe,1996,8529.13,52
772-50-6557,Eagle,curae nulla,Summit,1993,8138.9,5
409-02-1373,Pontiac,duis,LeMans,1989,4354.51,35
824-71-4627,Bugatti,ut erat,Veyron,2011,1591.67,96
541-72-9004,Honda,dictumst,Accord,2012,7358.51,65
700-22-9288,Hyundai,velit,Elantra,2000,1857.73,56
535-96-2355,Subaru,justo maecenas,Baja,2003,3348.78,38
117-63-9986,Audi,odio,Q7,2008,8080.83,48
841-15-2560,Infiniti,sit,G25,2011,1219.08,68
630-41-1149,Audi,ut,A8,1999,3087.81,26
270-70-0227,Dodge,tortor quis,Spirit,1995,4516.22,2
990-77-8237,Lincoln,placerat,Town Car,1994,3751.18,50
929-13-6546,Porsche,eu,Cayenne,2013,3735.05,10
970-11-6911,Lexus,pulvinar nulla,ES,2009,1051.37,95
